Sergiy Kolodyazhnyy
User Input: 1 3 13 21 39 40 
Game# Rolls      Match 3    Match 4    Match 5    Payout    
1 : 936098     27336      1809       51         414810    
2 : 1843732    53722      3778       94         820120    
3 : 6852636    199452     13580      303        2976520   
4 : 562567     16726      1108       31         253660    
5 : 99587      2894       212        2          41540     
6 : 5523202    160393     11089      241        2399380   
7 : 5260288    152814     10366      223        2269440   
8 : 3087521    89581      6019       136        1332760   
9 : 2678326    77910      5271       134        1176650   
10: 3489292    101339     6906       166        1524690   
Average values:
	3033324   	88216     	6013      	138       	1320957   
