Sergiy Kolodyazhnyy
User Input: 2 3 5 7 9 11 
Game# Rolls      Match 3    Match 4    Match 5    Payout    
1 : 3843544    111972     7526       166        1662020   
2 : 842130     24361      1731       39         369160    
3 : 1106191    31819      2218       62         491090    
4 : 5677071    165613     11194      261        2476830   
5 : 13992974   408122     27786      683        6153520   
6 : 6427067    187116     12544      269        2767360   
7 : 19941591   580036     39606      887        8667660   
8 : 7894263    229342     15747      349        3429770   
9 : 532722     15676      1016       17         224560    
10: 8651854    252251     17133      353        3732160   
Average values:
	6890940   	200630    	13650     	308       	2997413   
