Sergiy Kolodyazhnyy
User Input: 2 5 9 13 40 41 
Game# Rolls      Match 3    Match 4    Match 5    Payout    
1 : 820123     23914      1580       39         357140    
2 : 473346     13639      910        23         204890    
3 : 2405562    69777      4794       104        1041470   
4 : 1146747    33129      2223       57         499440    
5 : 11286532   329050     22272      558        4962100   
6 : 1151675    33840      2283       55         507550    
7 : 538543     15344      1069       24         230890    
8 : 777072     22735      1561       37         342400    
9 : 761373     22095      1478       32         326850    
10: 734498     21391      1477       41         328760    
Average values:
	2009547   	58491     	3964      	97        	880149    
